あいじょう	愛情	爱情，爱慕
きゅうきゅう	救急	急救
きゅうけい	休憩	休息
きゆうこう	休講	停讲，停课
きゅうめい	究明	研究明白
きゅうよう	休養	休养
きょう	京	京(京都的旧称)
ぎょう	行	行
きょうかしょ	教科書	教科书，教材
きょうぎ	協議	协议
きょうさんしゅぎ	共産主義	共产主义
きょうさんとう	共産党	共产党
きょうし	教師	老师
ぎょうし	凝視	凝视
ぎょうじ	行事	活动
きょうちょう	強調	强调
きょうつうご	共通語	普通语，通用语
きょうりょく	協力	合作
ぎょぎょう	漁業	渔业
きょく	極	极
きょこう	虚構	虚构
きょだい	巨大	巨大
きよみずのぶたい	清水の舞台	清水寺的舞台
きょり	距離	距离
きり	霧	雾
きりつ	規律	规律
きれ		小片，布头
きろく	記録	记录
キログラム		公斤，千克
きわ	際	边际，~的时候
きわまる	極まる	达到极限
きん	金	金
ぎん	銀	银
きんき	近畿	近畿
きんし	禁止	禁止
きんとう	均等	均等
きんねん	近年	近年
ぐ	具	菜码
クアラルンプール		吉隆坡
くうきょ	空虚	空虚，空洞
クーラー		冷气设备
くぎる	区切る	隔开
くくる	括る	捆，扎，绑
くさい	臭い	臭
くし		梳子
くじく	挫く	挫，扭
くじける	挫ける	沮丧，颓唐
くじょう	苦情	意见
くすぐる	擽る	搔，逗哏
くすぶる	燻る	冒烟
くせ	癖	癖，习气，脾气
ぐたいてき	具体的	具体
くだく	砕く	弄碎
くだける	砕ける	破碎，平易近人，浅近易懂，随便的
くちぐせ	口癖	口头语
くちばし	嘴	鸟嘴
くちべに	口紅	口红
くったく	屈託	顾虑，操心
くっつく		挨着，接合
くつろぐ	寛ぐ	舒适，舒畅
くてん	句点	句号
くどい		絮叨
くとうてん	句読点	句号，逗号，标点符号
くのう	苦悩	苦恼，痛苦
くばる	配る	发，分送
くふう（する）	工夫	动脑筋，想办法
くべつ	区別	区别
くみ	組	组，班
くみあわせ	組み合わせ	组合
くむ	汲む	汲(水)，打(水)
くもり	曇り	阴，阴天
くやしい	悔しい	悔恨
グライダー		滑翔机
くらしはじめる	暮らし始める	开始生活
くらす	暮らす	生活，度日
クラスメート		同学
くらべものにならない	比べ物にならない	无法比拟
くらむ	眩む	眼花
くりかえす	繰り返す	反复
くるしい	苦しい	苦
くれぐれも		反复请求
くろう（する）	苦労	辛苦，吃力
くわえる	加える	加，施加
くわしい	詳しい	详细
くん	訓	训读
ぐん	軍	军队
け	毛	毛
けいい	敬意	敬意
けいこう	傾向	倾向
けいざいりょく	経済力	经济力量
けいさつかん	警察官	警察
けいさん（する）	計算	计算
けいじ	掲示	布告，揭示
けいしき	形式	形式
げいじゅつ	芸術	艺术
けいしょう	継承	继承财产
けいじょう	計上	计入，列入
けいふく	敬服	佩服
けいやく	契約	契约，合同
けいゆ	経由	经过，途经
けいりぶ	経理部	财会部门
げき	劇	剧
げこう	下校	放学
けしかける		唆使
けしゴム	消しゴム	橡皮
けじめ		区别，差别
けしわすれる	消し忘れる	忘记弄灭
げすい	下水	脏水，污水
けずる	削る	削
けた	桁	栋梁，位数
けつきょく	結局	结果，归根到底
けっしん	決心	决心
けっせき	欠席	缺席
けつだん	決断	果断，决心
けってい	決定	决定
けってん	欠点	缺点
けねん	懸念	担心，悬念
けむり	煙	烟，烟雾
ける	蹴る	踢
けん	兼	兼
けんがく	見学	参观
けんきょ	謙虚	谦虚
けんこう	健康	健康
げんごがく	言語学	语言学
けんさ	検査	检查
げんじゅう	厳重	严重
げんしりょく	原子力	原子能
けんせつ	建設	建设
げんそうてき	幻想的	具有幻想色彩
げんだい	現代	现代
けんちく	建築	建筑
けんちょ	顕著	显著，明显
けんちょう	堅調	行情上涨
けんぶん	見聞	见闻
けんぶんをひろめる	見聞を広める	长见识，扩大眼界
けんぽう	憲法	宪法
けんめい	懸命	贤明
げんめい	言明	言明，说清
けんり	権利	权利
げんりょう	原料	原料
こい	濃い	浓，深，密
こいびと	恋人	恋人，情人，对象
コイン		硬币
ごう	合	~合（一合约为0.18公斤）
ごうい	合意	同意，意见一致
こううん	幸運	幸运
こうえん	後援	后援
こうえん	講演	讲演
こうおう	呼応	响应，响应
こうかい	公開	公开
こうがい	公害	公害
こうかてき	効果的	有效果
こうかん	好感	好感
こうかん	交換	交换
こうかんしゅ	交換手	接线员
ごうけい	合計	合计
こうごう	皇后	皇后
こうこく	広告	广告
こうさく	交錯	交错
こうさん	降参	投降
こうさん	公算	可能性
こうし	行使	行使
こうじ	工事	工程
こうした		这种，这样的
こうしゃ	後者	后者
こうしゅう	公衆	公众，大众
こうせい	攻勢	攻势
こうせい	恒星	恒星
こうせい	厚生	福利保健
こうそう	高層	高层
こうそく	高速	高速
こうだい	広大	辽阔，宏大
こうち	耕地	耕地
こうつりょう	交通量	交通量，通行量
こうてい	皇帝	皇帝
こうどう	行動	行动
こうふう	校風	校风
こうふく	幸福	幸福
こうよう	効用	用处，效能
こうよう	紅葉	红叶
ごうりてき	合理的	合理
こうりゅう	交流	交流
こうれい	高齢	高龄
ごうれい	号令	号令，口令
こえる	超える	超过
こえる	肥える	胖，肥
コーチ		教练
コーヒー		咖啡
こおり	氷	冰
ごがく	語学	外语(学习)
こかげ	木陰	隐蔽处
こがらし	木枯らし	寒风
ごかん	語感	语感
ごかん	五感	五种感觉
ごきげんよう		您好，一路平安
こきゅう	呼吸	呼吸
こくごじてん	国語辞典	国语词典
こくさいしゅぎ	国際主義	国际主义
こくせいちょうさ	国勢調査	国情调查
こくばん	黒板	黑板
こくほう	国宝	国宝
こくれんじむそうちょう	国連事務総長	联合国秘书长
こころづかい	心遣い	关怀，照料
こころづくし	心尽くし	好意，费习
こじゅうおく	50億	50亿
こしをぬかす	腰をぬかす	惊呆
こじんてき	個人的	个人的
こす	越す	越，过，渡
こそ		才是，才能
こたい	個体	固体
こたえ	答え	回答
ごちそうさまでした	ご馳走様でした	吃好了，吃饱了
こちらこそ		哪儿的话
こづかい	小遣い	零花钱，零用钱
こっきょう	国境	国境
コック		厨师
こっせつ（する）	骨折	骨折
こづつみ	小包	包裹，邮包
ことさら	殊更	故意，特意
ことのほか	殊の外	格外
ことばづかい	言葉使い	措词，说法
ことわり	断り	拒绝
こなれる		消化，熟练
こにんまえ	5人前	5个人的份儿
このあいだ	この間	前些日子，以前
このごろ	この頃	最近
このは	木の葉	树叶
このまま		就这样
こぶ		瘤子，包
ごぶさた	御無沙汰	久未访问，久未通信
こぼす	零す	弄洒，洒掉
こま		陀螺
こまごま	細々	零碎，详细
こみあう	込み合う	人多，拥挤
こみあげる	込み上げる	往上涌，涌现
ゴム		橡胶
ごもくずし	五目ずし	什锦寿司饭
こもん	顧問	顾问
こやす	肥やす	使。。。肥胖
ごようけん	御用件	事，事情
こらしめる	懲らしめる	惩罚
コラム		专栏
これなら		这样一来
これほど		这种程度，如此
これら		这些
ごろ	頃	~时候，~时分
こわばる		发硬，变硬
こんげん	根源	根源
こんせいき	今世紀	本世纪
こんせん	混戦	混战
こんなん	困難	困难
さ	差	差别
サービス		服务
さい	差異	差异
サイクリング		自行车旅行
さいげつ	歳月	岁月
さいしょう	最小	最小
さいする	際する	当~之际
さいだい	最大	最大
さいだん	裁断	剪裁，裁断
さいてん	採点	评分
さいのう	才能	才能
さいばんしょ	裁判所	法院
ざいりょう	材料	用料，材料
さいわい	幸い	幸运
さえ		连，甚至
さか	坂	坡，斜坡
さかさま	逆さま	倒，逆
さがしつづける	探し続ける	继续寻找
さがしまわる	捜し回る	到处找
さかり	盛り	盛期
さがる	下がる	下降
さきだつ	先立つ	站在前头，带头
さく	裂く	撕开，切开
さくいん	索引	索引
さくしゃ	作者	作者
さくじょ	削除	消除，删掉
さくねん	昨年	去年
さくひん	作品	作品
サグレブし	サグレブ市	萨格勒布市
さけ	酒	酒
さける	避ける	避免
ささる	刺さる	扎进，刺入
さしえ	挿絵	插图
さしがね	差し金	教唆，唆使
ざしき	座敷	（铺草席的日本式的）房间
さしこむ	差し込む	插，扎进
さそいだす	誘い出す	约出
さそう	誘う	邀请
サッカー		足球
サッカーボール		足球
さっそく	早速	立刻，马上
ざっと		粗略,简略
さっとう	殺到	涌向，蜂拥而至
さて		那么，且说，却说
さなか		最高潮
さま	様	接在姓名后表示尊敬
さまざま	様々	各种各样
さめる	覚める	醒
さやえんどう	莢豌豆	嫩豌豆角
さゆう	左右	左右，支配
さようなら		再见
さらに		还要，进而
さる	猿	猴子
さわぎ	騒ぎ	骚乱，混乱
さんか	参加	参加
さんかく	三角	三角
さんかくけい	三角形	三角形
さんかしゃ	参加者	参加者
さんかん	参観	参观
さんぎょう	産業	产业
さんこう	参考	参考
さんごう	3合	3合（一合大约为0。18公升）
さんざん		厉害，严重
ざんしょ	残暑	残暑，秋老虎
さんせい	賛成	赞成
サンダツ		凉鞋
さんたん	賛嘆	赞叹
サンパウロ		圣保罗
し	市	市
し	士	~员，~士
じ	時	时，点
しあわせ	幸せ	幸福
しいたけ		香菇
しいん	子音	辅音
しおり		书签
じか	自家	自己家，自我
しかく	四角	四方
じかく	字画	笔画
しかくけい	四角形	四方
しかも		而且
しかる	叱る	责备，斥责
じかんわり	時間割	时间表
しき	四季	四季
しき	式	仪式，典礼
しきい	敷居	门槛，门坎
じきに		立即，马上
しく	敷く	铺设
じけい	字形	字形
しさ	示唆	暗示，启发
しさく	思索	思索
じじつ	事実	事实
ししゃ	使者	使者
ししゅう	詩集	诗集
じじょう	事情	情况
ししん	指針	指针
しすう	指数	指数
しずみかける	沈みかける	要沉
しずむ	沈む	沉，落
しせつ	使節	使节
しせん	視線	视线
じそく	時速	时速
した	舌	舌头
じだいおくれ	時代遅れ	落后于时代
したがう	従う	遵从，适应
したがき	下書き	试写，草稿
したがって		因此
したしい	親しい	亲密
じち	自治	自治
しつ	質	质，质量
じっかん	実感	实感
しっけ	湿気	湿气
じっけん	実験	实验
じっけんだい	実験台	实验台
じつげん	実現	实现
じっさい	実際	实际
じつざい	実在	实在存在，实在
じっしょう	実証	证实，证据
じっしんほう	十進法	十进制
じつぶつ	実物	实物
じつようか	実用化	实用化
しつれいします	失礼します	对不起,失礼
していせき	指定席	对号入座
じてん	時点	时候
しどう（する）	指導	指导
じどうてき	自動的	自动
しとしとと		淅淅沥沥
しのぶ	忍ぶ	暗中做，隐藏
しはい	支配	统治
しばい	芝居	戏，戏剧
しはらい	支払い	支付
しばる	縛る	捆，绑，扎
じばん	地盤	地面，地基，地盘
じひ	慈悲	慈悲
しひ	詩碑	诗碑
しほう	四方	四方，四面
じほう	時報	报时
しぼむ	萎む	枯萎
しぼる	絞る	拧，挤
しほん	資本	资本
しみず	清水	清水
しみとおる	染みとおる	渗透
しめきり	締め切り	截止
しめす	示す	表示
しめだす	閉め出す	关在外面
しも	霜	霜
しゃ	社	~社
じゃがいも		土豆
ジャカルタ		雅加达
じゃくてん	弱点	弱点
しゃくど	尺度	尺度，标准
しゃくほう	釈放	释放
しゃせい	写生	写生
しゃべる	喋る	谈，说，聊
じゃま	邪魔	妨碍，访问
しゃれ	洒落	打扮漂亮
じゃんけん		划拳
しゅ	種	~种
しゅい	首位	首位
しゅう	週	星期，周
しゅうい	周囲	周围
じゅうおう	縦横	纵横
しゅうおんらい	周恩来	周恩来
しゅうかん	週間	~周，星期
しゅうぎ	衆議	众议
しゅうさい	秀才	秀才
しゅうじ	習字	习字
しゅうしょくご	修飾語	修饰语
ジュース		果子汁
じゆうせき	自由席	(电车等)不对号的座位
しゅうせきかいろ	集積回路	集成电路
しゅうぜん	修繕	修缮，修理
じゅうぞく	従属	从属
じゅうたい（する）	渋滞	阻塞
しゅうち	周知	人所共知
しゅうち	羞恥	羞耻
じゅうてん	重点	重点
しゅうにゅう	収入	收入
しゅうにん	就任	就任
しゅうへん	周辺	周围
じゅうよう	重要	重要
しゅうろく	収録	收录
しゅかんてき	主観的	主观
じゅくご	熟語	汉语词，复合词
しゅくしょう	縮小	缩小
じゅくす	熟す	熟，成熟
しゅくはく	宿泊	住宿
しゅこう	趣向	趣旨
しゅじゅつ	手術	手术
じゅしょう	受賞	得奖，获奖
しゅじん	主人	丈夫
しゅたいせい	主体性	独立见解
じゅだく	受諾	接受
じゅちゅう	受注	接受订货
じゅつご	術語	术语
じゅどう	受動	被动
ジュネーブ		日内瓦
じゅよう	需要	需要
しゅるい	種類	种类
じゅん	順	顺，顺序
しゅんかんてき	瞬間的	循环
じゅんじょ	順序	顺序
しょう	使用	使用
しょう	賞	奖
しょう	省	(日本内阁的)省
じょうえい	上映	上演
じょうえつ	上越	上越
しょうか	消化	消化
しょうか	消火	灭火
しょうがくせい	小学生	小学生
じょうき	蒸気	蒸气
しょうぎょう	商業	商业
しょうきょくてき	消極的	消极
じょうけい	情景	情景
じょうけん	条件	条件
じょうこう	条項	条款，项目
しょうじき	正直	老实，正直
じょうしき	常識	常识
じょうしゃけん	乗車券	车票
しょうじょ	少女	少女
しょうしょう	少々	稍微
しょうじょう	賞状	奖状
しょうせちか	小説家	小说家
じょうたい	常体	简体
じょうたつ	上達	进步，长进
しょうてん	商店	商店
しょうねん	少年	少年
しょうはい	勝敗	胜败
しょうひん	商品	商品
しょうひん	賞品	奖品
じょうひん	上品	文雅，高尚，上等货
しょうべん	小便	小便
しょうぼうし	消防士	消防队员
しょうもう	消耗	消耗
しょうゆ	醤油	酱油
じょうりゅう	上流	上流，上游
しょきゅう	初級	初级
じょきょ	除去	除去
しょくぶつ	植物	植物
しょくぶつせい	植物性	植物性
しょくもつ	食物	食物
じょし	女子	女子
しょしゃ	書写	书写
じょじょに	徐々に	逐渐地
しょしん	初心	初衷
しょたい	書体	字体
しょっかく	触角	触角
しょっぱい		咸
しょめい	書名	书名
じょゆう	女優	女演员
しらせ	知らせ	通知
しりあい	知り合い	熟人，友人
しりとり	しり取り	(游戏)接尾令
しりめ	しり目	斜眼看
しるし	印	标志
しれる	知れる	被人知道
しわざ	仕業	所作的事情
じんいん	人員	人员
しんえい	新鋭	新生力量
しんきょう	心境	心境，心情
しんくうかん	真空管	真空管
しんけん	真剣	认真
じんけん	人権	人权
しんこきゅう	深呼吸	深呼吸
じんじ	人事	人事
しんしつ	寝室	卧室
しんしょく	侵蝕	侵蚀，侵占
しんじる	信じる	相信
じんせい	人生	人生
しんしん	心身	身心
しんせき	親戚	亲戚
しんぞう	心臓	心脏
しんたい	身体	身体
しんたく	信託	信托，委托
しんちょう	身長	身长，身高
しんど	震度	震级
しんとう	神道	(日本)神道
しんぽ（する）	進歩	进步，提高
シンボル		象征
じんるい	人類	人类
しんろ	進路	出路，前进的道路
ず	図	图，~图
すいい	推移	推移
すいこう	推敲	推敲
すいこむ	吸い込む	吸进
すいさんぶつ	水産物	水产
ずいじ	随時	随时，时常
すいじょうき	水蒸気	水蒸气
すいてい	推定	推定
すいとる	吸い取る	吸收
すいぶん	水分	水分
すいりょく	水力	水力
すう	数	数~
すうじ	数字	数字
すうち	数値	数值
すうにん	数人	数人
スープ		汤
すえっこ	末っ子	最小的孩子
すがすがしい	清清しい	清新，清爽
すがた	姿	姿态，装束，身影，样子
ずかん	図鑑	图鉴
すぎ	過ぎ	过了，超过
すくう	救う	救，求救
すくない	少ない	少
すぐれる	優れる	优秀，出色
スケッチ		速写
ずこう	図工	手工
すこぶる	頗る	非常，很
ずしき	図式	图解，图式
すず	鈴	铃，铃铛
すすむ	進む	进步，先进
すすめる	進める	前进，进行，开展
すすめる	勧める	劝
スチュワーデス		空中小姐
ずつ		(表示平均的意思)每……
ずっと		(比)~得多
すっぱい		酸
すなお	素直	天真，纯朴
すね	脛	胫部
すばらしい	素晴らしい	极好,出色
スピーチ		讲话，演讲
すべて		全部，一切
すべる	滑る	滑，滑溜
すぼむ	窄む	细窄
すます	澄ます	使清澈
すみび	炭火	炭火
すみません		请问，对不起
すもう	相撲	摔跤
すりむく	擦りむく	擦破
する	擦る	擦
する	刷る	印刷
ずるい		狡猾
するどい	鋭い	尖锐
すれちがう	擦れ違う	擦过去，走两岔
せい	精	精力
せい	性	性，性别，本性；~性
せいあん	西安	西安
せいい	誠意	诚意
せいおん	清音	清音
せいこう（する）	成功	成功
せいさん	生産	生产
せいしつ	性質	性质
せいしょ	清書	誊清
せいじん	成人	成人
せいしん	精神	精神
せいぜい		最多不过~
せいせき	成績	成绩
せいたい	生態	生态
ぜいたくひん	ぜいたく品	奢侈品
せいど	精度	精确度
せいど	制度	制度
せいとん	整頓	整顿
せいねん	青年	青年
せいび	整備	备齐，铺设
せいひん	製品	制品，产品
せいふ	政府	政府
せいぶつ	生物	生物
せいめい	生命	生命
せいり	整理	整理
セーラーふく	セーラー服	水兵服式的女学生制服
せき	咳	咳嗽
せきたん	石炭	煤炭
せきとめる	せき止める	堵住
せきにんかん	責任感	责任感
せきゆ	石油	石油
せきりょう	寂寥	寂寞，冷清
せく	急く	急，着急
せっかく		好不容易
せっきょくてき	積極的	积极
せっきん	接近	接近
せっけいず	設計図	设计图
せっけん	石鹸	肥皂
ぜったいに	絶対に	绝对
ぜっちょう	絶頂	顶峰
せつび	設備	设备，设置
せとないかい	瀬戸内海	濑户内海
せのび	背伸び	伸腰，踮脚
せりふ	台詞	台词
ぜん	善	善，好事
ぜんい	善意	善意，好意
ぜんけん	全権	全权
ぜんこう	全校	全校，所有的学校
ぜんこく	全国	全国
ぜんしゃ	前者	前者
せんしゅ	選手	选手
ぜんしん	全身	全身，浑身
せんぞく	専属	专属
せんたく	選択	选择
せんたん	先端	尖端
センチ		~厘米
センテンス		句子
せんにゅうかん	先入観	先入为主，成见
せんろ	線路	线路，轨道
そう	総	总~
そうあん	草案	草案
そういえば	そう言えば	这么说
ぞうお	憎悪	憎恶
そうか		是啊
そうぎょう	操業	操用，作业
ぞうげん	増減	增减
そうさ	操作	操作
そうさく	創作	创作
そうした		这种，这样的
そうじんこう	総人口	总人口
そうたい	早退	早退
そうだんにのる	相談に乗る	帮人斟酌
そうてい	想定	假想，设想
そうりょう	送料	邮费
ソウル		汉城
そがい	疎外	疏远，冷淡
そこ	底	底部
そこく	祖国	祖国
そこで		因此
そしき	組織	组织
そせん	祖先	祖先
そそっかしい		冒失，轻率，慌张
そだつ	育つ	生长
そのうえ	その上	并且
そのかわり	その代わり	取而代之，反面
そのご	その後	后来，以后
そのた	その他	其他
そのため		因此
そのまま		就那样
そらす	逸らす	岔开，离开
それこそ		那才，那正是
それぞれ		各自
それだけ		相应地
それでも		即便如此
それとも		还是~
それなのに		尽管这样
それら		它们
それる	逸れる	偏离(目标，方向)
そろう	揃う	齐全
そん	損	损失
そんけい（する）	尊敬	尊敬
そんざい	存在	存在
だい	台	~辆
だい	第	第~
たいい	大意	(文章的)大意
だいがんとう	大雁塔	大雁塔
たいきん	大金	巨款
だいく	大工	木工，木匠
だいざい	題材	题材
だいさんかい	第三回	第三次
たいした		了不起
たいしつ	体質	体质
たいして		不怎么
たいしょう	大正	大正(年号)
たいじょう	退場	退场，下场
たいする	対する	对
たいせい	大成	完成
たいそう	体操	体操
だいたすう	大多数	大多数
たいど	態度	态度
たいはん	大半	大半，过半
たいべつ	大別	大致的区别
だいめい	題名	标题，题名
だいめいし	代名詞	代词
だいもく	題目	题目
だいもんじやき	大文字焼き	大字形的篝火
たいよう	太陽	太阳
たうえ	田植え	插秧
たえぬく	耐え抜く	经得起
タオル		毛巾
たかい	高い	高，高的
たがいに	互いに	互相
たかぶる	高ぶる	兴奋，高傲
たから	宝	宝物，宝贝
たき	滝	瀑布
たきあがる	炊き上がる	煮好
だくおん	濁音	浊音
たくする	託する	托，委托
だくてん	濁点	浊音符号
たぐる	手繰る	拉近
たけ	竹	竹子
だけど		但是
たけのこ	筍	笋
たしかめる	確かめる	确认
だしじる	出し汁	用海带、木鱼等煮的高汤
たしなむ	嗜む	爱好，嗜好
たすける	助ける	救助，帮助
たずさえる	携える	携带，偕同
たずねる	尋ねる	询问
ただ		只，仅
ただいま		我回来了
たたかう	戦う	战斗
たたく	叩く	敲
ただでさえ		本来就，平常就
たちどまる	立ち止まる	站住，止步
たちば	立場	立场
たつ	断つ	切开，断，截
たつ	経つ	经，过(时间)
たなかし	田中氏	田中氏
たなばた	七夕	七夕
たね	種	种子；原因
たねあかし	種明かし	揭开秘密
たねまき	種まき	播种，撒种
たのしむ	楽しむ	欣赏
たべすぎ	食べ過ぎ	吃得过多
たま	玉	玉石，球，灯泡
だまりこむ	黙り込む	沉默，无言
だまる	黙る	沉默，无言，不说话
たよる	頼る	靠，依靠
だらしない		不检点，吊儿郎当
たらず	足らず	不足~
たる	足る	足，够，值得
たわら	俵	稻草包
だん	段	楼梯，台阶
たんきゅう	探求	探求，探索
たんご	単語	单词
だんじょ	男女	男女
たんすう	単数	单数
だんぜつ	断絶	断绝，绝灭
だんちょう	団長	团长
たんにん	担任	担任，担当
たんぶん	短文	短文
だんぺん	断片	片断，部分
だんらく	段落	段落
ち	値	~值
ちいさめ	小さめ	稍小
ちがい	違い	不同
ちかう	誓う	发誓，宣誓
ちかく	知覚	知觉，感觉
ちかごろ	近頃	最近
ちかづく	近づく	靠近
ちかみち	近道	近道，近路
ちかよる	近寄る	接近，靠近
ちきゅう	地球	地球
ちきゅうじょう	地球上	地球上
ちこく	遅刻	迟到
ちしき	知識	知识
ちじょく	恥辱	耻辱
ちてん	地点	地点
ちのう	知能	智能
ちゃくちゃく	着々	一步一步，节节
ちゃんと		好好地
ちゅうおう	中央	中央
ちゅうかじんみんきょうわこく	中華人民共和国	中化人民共合国
ちゅうしゅつ	抽出	抽出，抽取
ちゅうしょうてき	抽象的	抽象
ちゅうしん	中心	中心
ちゅうねん	中年	中年
ちゅうぶ	中部	中部
ちゅうもん	注文	要，订货，订菜
チューリップ		郁金香
ちゅうりゅう	中流	中流，中游
ちょう	長	长，首领
ちょう	超	超~
ちょうこがた	超小型	超小型
ちょうてん	頂点	顶点
ちょうみりょう	調味料	调味料
ちょうめん	帳面	笔记本，账簿
ちょくせつ	直接	直接
ちょくせん	直線	直线
ちょさく	著作	著作
ちょっかん	直観	直观
ちょっとした		有点特别
ちょっぴり		稍稍，有点
ちらかす	散らかす	乱扔，弄乱
ちる	散る	谢，落
ちん	賃	~费
ついに		终于，终究
つうか	通貨	通货，流通的货币
つうじる	通じる	通过
つかいなれる	使い慣れる	用惯
つかいわける	使い分ける	分别使用
つかえる	支える	堵，塞
つかれ	疲れ	疲劳，疲倦
つき	月	月亮；月份，月
つき	付	带~
つきそう	付き添う	跟随，侍从，护理
つきとおす	突き通す	扎透，穿通
つく	付く	(気がつく)发现，注意到；感到~；带，具有
つぐなう	償う	赔偿，抵偿
つくりあげる	作り上げる	做成，完成
つくりばなし	作り話	编出来的话
つける	点ける	开(电灯)
つち	土	土
つつむ	包む	包，裹
つながり		联系
つぼ	壺	壶，罐，坛
つぼいちゅうじ	坪井忠二	坪井忠二
つまり		也就是
つみおろし	積み卸ろし	装卸
つみかさね	積み重ね	积累
つむ	積む	堆积，垒积
つめ	爪	指甲，趾甲
つめこむ	詰み込む	装满，塞满
つれもどす	連れ戻す	带回(人或动物)
てあらい	手洗い	洗手，厕所
ていき	提起	提出，提起
ていけつ	締結	缔结，签订
ていしゃば	停車場	停车场，车站
ていりゅうじょ	停留所	(公共汽车)车站
でかける	出掛ける	到……去，出去
てき	敵	敌，敌人
てき	的	~的
でき	出来	制成，作成
できあがり	出来上がり	做好
てきい	敵意	敌意
てきちゅう	的中	命中，准确
てきよう	適用	适用
デクエアル		德奎利亚尔
てごたえ	手応え	反应，效果
てごろ	手頃	合适，相当
デシリットル		分升
ですから		所以
てつ	鉄	铁
てづくり	手作り	亲手
てっする	徹する	彻，透
てつだい	手伝い	帮忙，帮忙的人
てってい	徹底	彻底，透彻
てつどう	鉄道	铁路
ではいり	出入り	出入
でむかえ	出迎え	来迎接
でむかえる	出迎える	迎接
てらす	照らす	照，照耀
テレビきょく	テレビ局	电视台
でんし	電子	电子
でんしかいろ	電子回路	电子电路
てんじょう	天井	天花板
てんずる	転ずる	转变，改变
てんとう	転倒	翻倒，跌倒
でんとうてき	伝統的	传统的
てんにょ	天女	仙女
てんねん	天然	天然，自然
てんめつ	点滅	忽亮忽灭
ど	度	~度
どあい	度合い	程度
とい	問い	问
どう	同	同~
とうかいどう	東海道	东海道
どうきゅうせい	同級生	同学
とうきょうはつ	東京発	由东京始发
どうけい	憧憬	憧憬，向往
とうじ	当時	当时
どうじ	同時	同时
どうしつ	同質	同一性质
とうしょ	当初	当初
とうしょ	投書	读者来信，投稿
とうしん	答申	回答咨询
どうせだい	同世代	同年代，同时代
とうちゃく	到着	到达
とうてん	読点	逗号
どうてん	動転	惊慌
どうにも		不管怎么也~
とうひ	当否	当否，是否正确
どうり	道理	道理
どうろ	道路	道路
とうわく	当惑	为难，困惑
とおす	通す	通过
とおりかかる	通り掛かる	路过
とかい	都会	城市
どかす	退かす	挪开，移开
とき	時	时，时候
とくい（だ）	得意	拿手，擅长
とくしつ	特質	特征，特性
どくしょ	読書	读书
とくてい	特定	特定
どける	退ける	挪开，移开
ところが		可是
ところで		不过，我说
とし	都市	城市，都市
とじこめる	閉じ込める	关在里面
としつき	年月	年月，岁月
としょ	図書	图书
としより	年寄り	老人
とじる	閉じる	关闭
としん	都心	市中心
とち	土地	地区
とっきゅうけん	特急券	特快票
とつぜん	突然	忽然，突然
とってかわる	取って代わる	取代
とどく	届く	送来，送到
とどろく		轰鸣，跳动
とにかく		无论如何
どのように		如何，怎样
とびおりる	飛び降りる	跳下
とびつく	飛び付く	扑过来，抢
とびのる	飛び乗る	跳上，乘上
とびまわる	飛び回る	飞翔
とめる	泊める	住宿，过夜
ともる	点る	点燃
ドライブ		开汽车郊游
トランジスタ		晶体管
とりかかる	取り掛かる	着手
とりはずし	取り外し	取下
とりはずす	取り外す	取下
どりょく	努力	努力
とる	捕る	捕捉
とる	採る	采集
トルコ		土耳其
どれほど		多么，怎样，怎么
とれる	取れる	收，出产
どんどん		接连不断
トンビ		鸢
ないせい	内省	反省
ないよう	内容	内容
なかでも	中でも	特别，尤其
ながねん	長年	长年，多年
ながびく	長引く	拖长，拖延
なかま	仲間	伙伴，同事
なかまいり	仲間入り	加入…的行列，列为…
ながめる	眺める	眺望，远眺
ながれる	流れる	流，播放
なし		梨
なぞなぞ		谜语，谜语游戏
なだめる	宥める	劝解，哄，安慰
なだらか		平缓，平稳
なつかしい	懐かしい	怀念
なにしろ		不管怎么说
なにぶん	何分	只是因为，无奈
なにより	何より	最好
なびく	靡く	随风摇摆，服从
なべ	鍋	锅
なみ	波	波，波浪
なみだ	涙	眼泪
なんといっても	何と言っても	首先，不论怎么说
なんとか		千方百计，设法
なんとなく	何と無く	似乎有点
にぎる	握る	握，抓
にぎわう		热闹
にこにこ		笑嘻嘻，笑眯眯
にしぐち	西口	西口
にじむ		渗，洇
にしんほう	二進法	二进制
にせ	偽	假，伪造
にちじ	日時	日期和时间
にちじょうさはんじ	日常茶飯事	家常便饭
にちようひん	日用品	日用品
にっし	日誌	日志，日记
にってい	日程	日程
にっすう	日数	天数
にほん	日本	日本
ニュージーランド		新西兰
にゅうじょう	入場	入场
にら	韮	韭菜
にんき	人気	(人)受欢迎，有人缘
にんげん	人間	人，人类
にんじん	人参	胡萝卜
にんたい	忍耐	忍耐
にんにく		大蒜
にんまえ	人前	~人的份
ぬう	縫う	缝
ぬく	抜く	拔掉，抽出
ぬぐう		擦，揩掉，消除
ぬの	布	布
ぬるい	温い	微温，温和
ぬれる	濡れる	淋湿
ね	根	根
ねえ		喂
ねがいごと	願い事	心愿，愿望
ねがう	願う	祝愿
ねぎ		葱
ねだる	強請る	强求，央求
ねだん	値段	价格
ねぶたまつり	ねぶた祭り	佞武多节
ねまき	寝間着	睡衣
ねんいり	念入り	周到，细致
ねんじゅう	年中	年中，一年间
